"Interval (days)","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","Row Totals"
5,0,1,1,0,0,0,0,0,0,1,0,2,1,0,9,3,0,1,4,0,2,0,18
6,0,4,2,0,0,1,0,3,0,1,0,3,2,2,1,0,0,0,0,0,2,2,27
7,0,4,0,0,0,1,0,1,2,4,0,0,0,2,0,8,0,3,3,0,2,1,26
8,0,0,1,0,0,1,0,0,2,3,2,2,0,0,0,2,0,3,0,0,5,3,20
9,4,2,18,0,2,0,0,13,5,69,14,13,33,10,3,31,6,97,9,13,12,1,347
10,36,38,58,15,16,53,19,191,32,351,66,198,230,104,86,299,74,431,89,130,134,66,2608
11,57,155,98,16,20,175,54,445,74,495,108,349,308,215,238,559,139,502,139,176,190,112,4639
12,54,193,71,35,56,239,59,322,67,266,48,256,166,160,195,385,128,231,82,147,104,120,3550
13,36,112,33,37,32,128,49,141,42,106,23,107,53,82,73,182,46,97,43,41,35,46,1557
14,26,47,18,12,16,76,3,44,12,44,28,49,25,42,20,91,23,27,22,42,14,10,697
15,8,28,6,13,6,26,11,6,14,14,3,16,14,19,9,41,12,20,9,5,7,4,251
16,1,8,9,0,4,12,3,8,2,11,5,3,5,4,1,17,6,2,5,0,1,10,121
17,1,4,1,0,0,13,2,3,5,2,0,5,2,3,6,4,3,1,4,0,2,0,69
18,1,0,3,5,0,4,3,6,1,6,2,5,1,2,6,5,6,9,0,1,2,2,87
19,1,0,8,0,0,2,1,9,0,18,5,3,8,3,2,17,2,41,10,1,7,0,136
20,4,7,11,2,1,8,4,24,5,54,7,21,31,17,5,56,3,85,30,20,17,3,415
21,18,21,11,9,7,25,0,47,12,86,13,47,26,14,19,112,19,108,27,38,39,10,734
22,12,36,25,2,5,33,7,71,11,95,13,46,35,32,29,126,38,92,29,33,38,28,906
23,17,51,23,4,6,60,4,94,5,70,9,41,31,26,43,122,20,68,17,25,36,28,821
24,20,31,8,8,8,55,9,55,0,45,16,46,29,21,22,65,18,33,20,17,29,19,576
25,5,13,14,5,6,35,3,38,6,14,5,30,6,9,13,47,2,26,13,17,16,14,327
26,6,30,6,9,4,40,1,12,4,9,3,18,5,3,6,18,6,11,10,10,9,5,222
27,4,4,6,1,14,18,8,12,2,9,1,7,3,8,13,12,0,6,4,0,0,2,154
28,4,6,8,2,6,3,2,7,1,5,0,3,4,2,3,9,2,12,4,0,2,4,92
29,1,1,3,0,5,4,1,3,0,9,0,0,4,0,4,3,0,14,5,3,6,2,62
30,4,2,1,0,4,1,0,7,1,21,2,5,4,0,1,9,2,11,2,1,8,3,111
31,3,6,1,1,0,6,1,10,0,12,1,6,11,7,11,24,4,26,13,7,17,6,147
32,3,8,8,1,3,6,2,14,6,22,2,7,14,4,7,30,6,19,9,5,8,8,185
33,5,11,2,0,4,8,1,46,1,27,7,21,17,11,6,46,6,25,12,10,7,8,248
34,5,7,1,6,3,18,0,23,2,12,1,14,12,23,11,39,1,23,4,18,10,7,207
35,5,12,5,2,6,10,0,13,0,12,2,18,4,5,6,29,7,7,4,4,20,1,180
36,2,11,5,3,4,16,5,11,1,5,0,12,8,9,2,23,0,2,5,5,7,2,140
37,1,6,0,2,4,23,0,4,0,5,0,9,2,0,9,25,4,4,3,4,2,1,82
38,0,4,2,0,0,4,0,6,0,7,2,2,3,0,1,3,3,6,2,1,4,0,53
39,1,1,2,4,0,5,1,2,0,0,0,3,2,0,0,4,0,1,0,1,3,2,38
40,1,0,0,0,1,2,1,5,0,6,2,2,1,3,0,2,1,5,0,0,6,0,36
41,4,3,0,1,2,1,2,2,0,2,2,0,1,2,0,9,3,5,0,0,5,0,58
42,0,1,0,0,1,7,0,3,0,4,4,6,3,2,0,6,2,7,4,5,9,1,59
43,0,0,0,0,0,8,0,3,1,6,1,2,0,3,0,4,0,1,4,8,10,1,57
44,0,2,1,0,0,4,0,1,0,3,0,0,2,6,0,6,0,3,1,0,7,2,39
45,0,2,0,1,1,0,0,7,0,4,5,0,2,3,0,12,2,7,0,0,0,1,31
46,1,4,2,0,4,3,0,5,2,5,0,10,0,0,0,12,8,2,0,0,2,2,58
47,1,1,0,0,0,0,2,1,0,1,0,2,0,2,0,6,0,2,0,0,0,0,34
48,0,2,0,1,0,1,0,6,0,1,0,6,0,0,3,6,0,1,2,0,0,0,37
49,1,1,0,0,1,0,0,2,0,1,0,1,2,0,0,1,0,1,0,0,2,0,18
50,0,3,0,1,0,3,0,5,0,1,0,2,2,0,0,0,0,0,0,0,0,0,17
51,0,0,0,3,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,1,0,15
52,0,0,0,0,0,0,0,0,0,0,3,2,3,0,1,0,0,5,0,0,3,0,11
53,0,1,0,0,0,5,0,3,2,0,3,4,0,0,0,1,0,0,0,0,0,0,12
54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
55,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,3,0,5,0,0,0,0,19
56,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,1,0,7
57,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,9
58,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,2,0,0,2,0,7
59,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
60,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4
62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
